track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,genre,country_list,key_encoded,mode_encoded,genre_freq_encoded,country_list_encoded,artist_count_min-max,released_year_min-max,released_month_min-max,released_day_min-max,in_spotify_playlists_min-max,in_spotify_charts_min-max,streams_min-max,in_apple_playlists_min-max,in_apple_charts_min-max,in_deezer_playlists_min-max,in_deezer_charts_min-max,in_shazam_charts_min-max,bpm_min-max,danceability_%_min-max,valence_%_min-max,energy_%_min-max,acousticness_%_min-max,liveness_%_min-max,speechiness_%_min-max,key_encoded_min-max,mode_encoded_min-max,genre_freq_encoded_min-max,country_list_encoded_min-max
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251.0,83,F#,Minor,57,56,72,23,27,5,"trap, manele","Germany, United States of America",8,1,0.0041972717733473,0.0020986358866736,0.14285714285714285,1.0,0.2727272727272727,0.5333333333333333,0.05381428868670437,0.27210884353741494,0.13652359015992904,0.06101190476190476,0.7454545454545455,0.004366459125090968,0.20689655172413793,0.2633788037775446,0.12765957446808507,0.4657534246575343,0.5591397849462366,0.7159090909090909,0.23711340206185566,0.2553191489361702,0.04838709677419355,0.8,1.0,0.010714285714285739,0.0031152647975076957
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,78,52,82,18,15,7,k-pop,South Korea,7,1,0.0514165792235047,0.0398740818467995,0.0,1.0,0.5454545454545454,0.2,0.007395918058524221,0.37414965986394555,0.015727343856966867,0.05505952380952381,0.7345454545454545,0.0016980674375353764,0.08620689655172414,0.17628541448058763,0.6028368794326241,0.7534246575342465,0.5161290322580646,0.8295454545454546,0.18556701030927836,0.12765957446808512,0.08064516129032258,0.7000000000000001,1.0,0.17142857142857143,0.11526479750778798
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,2.0,118,C#,Major,71,65,68,6,3,7,Unknown,United States of America,3,0,0.2948583420776495,0.3378803777544596,0.0,1.0,0.0,0.3666666666666667,0.2303894679100384,0.782312925170068,0.3555321923733079,0.4464285714285714,0.7818181818181819,0.060240963855421686,1.0,0.002098635886673662,0.375886524822695,0.6575342465753424,0.6559139784946237,0.6704545454545454,0.061855670103092786,0.0,0.08064516129032258,0.30000000000000004,0.0,0.9999999999999999,1.0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,2.0,130,D,Minor,51,32,43,83,9,3,Unknown,United States of America,4,1,0.2948583420776495,0.3378803777544596,0.0,1.0,0.2727272727272727,0.43333333333333335,0.0661471239147294,0.6666666666666666,0.10463802598805146,0.11904761904761904,0.5672727272727273,0.01471658445863993,0.41379310344827586,0.002098635886673662,0.46099290780141844,0.38356164383561636,0.3010752688172043,0.38636363636363635,0.8556701030927835,0.06382978723404256,0.016129032258064516,0.4,1.0,0.9999999999999999,1.0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,2.0,174,F#,Minor,52,66,73,34,31,6,Unknown,United Kingdom,8,1,0.2948583420776495,0.0944386149003148,0.0,0.9892473118279561,0.1818181818181818,0.9999999999999999,0.44534397639359147,0.8843537414965986,0.6785255939698066,0.5997023809523809,0.72,0.06978248564728713,0.7931034482758621,0.002098635886673662,0.7730496453900709,0.3972602739726027,0.6666666666666667,0.7272727272727273,0.35051546391752575,0.2978723404255319,0.06451612903225806,0.8,1.0,0.9999999999999999,0.2772585669781932
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187.0,89,G#,Major,64,43,73,5,16,4,r&b,United States of America,10,0,0.0230849947534102,0.3378803777544596,0.0,0.9892473118279561,0.9999999999999999,0.23333333333333334,0.15279853216562317,0.5238095238095238,0.3140185496840115,0.27232142857142855,0.5890909090909091,0.013018517021104552,0.20689655172413793,0.19622245540398742,0.17021276595744683,0.5616438356164384,0.41935483870967744,0.7272727272727273,0.05154639175257732,0.13829787234042554,0.03225806451612903,1.0,0.0,0.07499999999999982,1.0
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0.0,120,B,Minor,78,76,59,43,34,3,k-pop,South Korea,2,1,0.0514165792235047,0.0398740818467995,0.0,1.0,0.09090909090909091,0.7666666666666667,0.05506270452267009,0.5238095238095238,0.13412725915126444,0.13541666666666666,0.7709090909090909,0.006307107625131398,0.10344827586206896,0.0,0.3900709219858156,0.7534246575342465,0.7741935483870969,0.5681818181818182,0.44329896907216493,0.32978723404255317,0.016129032258064516,0.2,1.0,0.17142857142857143,0.11526479750778798
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,2.0,78,C#,Major,44,14,9,96,10,3,Unknown,United States of America,3,0,0.2948583420776495,0.3378803777544596,0.0,1.0,0.5454545454545454,0.4,0.01592675960429001,0.7074829931972789,0.008246492723625385,0.11904761904761904,0.8254545454545454,0.0076817336459933695,0.41379310344827586,0.002098635886673662,0.09219858156028371,0.2876712328767123,0.10752688172043011,0.0,0.9896907216494846,0.07446808510638298,0.016129032258064516,0.30000000000000004,0.0,0.9999999999999999,1.0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187.0,100,B,Major,86,67,66,14,12,16,"manele, trap","Colombia, Puerto Rico",2,0,0.2864637985309549,0.0041972717733473,0.14285714285714285,1.0,0.1818181818181818,0.9999999999999999,0.048782794559933416,0.27210884353741494,0.09050464855955563,0.06398809523809523,0.36363636363636365,0.004366459125090968,0.24137931034482757,0.19622245540398742,0.24822695035460995,0.8630136986301369,0.6774193548387097,0.6477272727272727,0.14432989690721648,0.09574468085106383,0.22580645161290322,0.2,0.0,0.9714285714285715,0.009345794392523383
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29.0,120,G,Major,63,36,73,0,36,4,k-pop,United Kingdom,9,0,0.0514165792235047,0.0944386149003148,0.0,1.0,0.1818181818181818,0.7666666666666667,0.01068719617152477,0.4625850340136054,0.09810408764389585,0.011904761904761904,0.3781818181818182,0.001859788145872079,0.034482758620689655,0.030430220356768102,0.3900709219858156,0.547945205479452,0.34408602150537637,0.7272727272727273,0.0,0.35106382978723405,0.03225806451612903,0.9,0.0,0.17142857142857143,0.2772585669781932
