artist_name,artist_count,country,,,,,,,,,
Scherze,1,Unknown,,,,,,,,,
Seafret,1,United Kingdom,,,,,,,,,
Selena G,1,United States of America,,,,,,,,,
Selena Gomez,1,United States of America,,,,,,,,,
Shadab Faridi,1,India,,,,,,,,,
Shae Gill,1,Pakistan,,,,,,,,,
Shakin' Stevens,1,United Kingdom,,,,,,,,,
Shilpa Rao,1,India,,,,,,,,,
Shubh,1,India,,,,,,,,,
SiM,1,Japan,,,,,,,,,
Sidhu Moose Wala,1,France,,,,,,,,,
Simone Mendes,1,Austria,,,,,,,,,
Skrillex,1,United States of America,,,,,,,,,
Sky Rompiendo,1,Colombia,,,,,,,,,
Sofia Carson,1,Norway,,,,,,,,,
Sog,1,Unknown,,,,,,,,,
Southstar,1,Germany,,,,,,,,,
Standly,1,Chile,,,,,,,,,
Stars Music Chile,1,Chile,,,,,,,,,
Steve Aoki,1,United States of America,,,,,,,,,
Stromae,1,Belgium,,,,,,,,,
Styrx,1,Unknown,,,,,,,,,
Suki Waterhouse,1,Netherlands,,,,,,,,,
Sukriti Kakar,1,India,,,,,,,,,
Summer Walker,1,United Kingdom,,,,,,,,,
Supernova Ent,1,Estonia,,,,,,,,,
Surf Curse,1,United Kingdom,,,,,,,,,
Swedish House Mafia,1,Sweden,,,,,,,,,
THE ANXIETY,1,United States of America,,,,,,,,,
TOMORROW X TOGETHER,1,United Kingdom,,,,,,,,,
TV Girl,1,United States of America,,,,,,,,,
Taiu,1,Argentina,,,,,,,,,
Tanna Leone,1,United States of America,,,,,,,,,
Tate M,1,United States of America,,,,,,,,,
Taylour Paige,1,United States of America,,,,,,,,,
Tchakabum,1,Brazil,,,,,,,,,
Tears For Fears,1,United Kingdom,,,,,,,,,
Tems,1,Nigeria,,,,,,,,,
Tesla Jnr,1,Nigeria,,,,,,,,,
The Fontane Sisters,1,United States of America,,,,,,,,,
The Goo Goo Dolls,1,United States of America,,,,,,,,,
The Harlem Community Choir,1,United States of America,,,,,,,,,
The Killers,1,United States of America,,,,,,,,,
The Marias,1,United States of America,,,,,,,,,
The Plastic Ono Band,1,United Kingdom,,,,,,,,,
The Police,1,United Kingdom,,,,,,,,,
The Rare Occasions,1,United States of America,,,,,,,,,
The Ronettes,1,United States of America,,,,,,,,,
The Walters,1,Netherlands,,,,,,,,,
Thezth,1,Unknown,,,,,,,,,
Ticoo,1,Unknown,,,,,,,,,
Toian,1,Jamaica,,,,,,,,,
Tom Odell,1,United Kingdom,,,,,,,,,
Tones and I,1,Australia,,,,,,,,,
Tony Dize,1,United States of America,,,,,,,,,
Topher Ngo,1,United States of America,,,,,,,,,
Tory Lanez,1,Canada,,,,,,,,,
Treasure,1,United Kingdom,,,,,,,,,
Treyce,1,Brazil,,,,,,,,,
Tulus,1,Finland,,,,,,,,,
Twisted,1,Unknown,,,,,,,,,
Tyga,1,United States of America,,,,,,,,,
Tyler Cole,1,United States of America,,,,,,,,,
Ugly Dray,1,Unknown,,,,,,,,,
V,1,South Korea,,,,,,,,,
Vance Joy,1,Australia,,,,,,,,,
Varun Jain,1,India,,,,,,,,,
Veigh,1,Brazil,,,,,,,,,
Victor Cibrian,1,Mexico,,,,,,,,,
Villano Antillano,1,Estonia,,,,,,,,,
Vundabar,1,United States of America,,,,,,,,,
Wham!,1,United Kingdom,,,,,,,,,
Wisin & Yandel,1,United States of America,,,,,,,,,
Wiu,1,Brazil,,,,,,,,,
Wiz Khalifa,1,United States of America,,,,,,,,,
Xame,1,Unknown,,,,,,,,,
Yoko Ono,1,United States of America,,,,,,,,,
Young Miko,1,Puerto Rico,,,,,,,,,
Yung Gravy,1,Denmark,,,,,,,,,
Yung Lean,1,Sweden,,,,,,,,,
Yuridia,1,Mexico,,,,,,,,,
Zach Bryan,1,Spain,,,,,,,,,
Zakaria,1,Unknown,,,,,,,,,
Ze Fe,1,Brazil,,,,,,,,,
Ze Neto & Crist,1,Brazil,,,,,,,,,
Zendaya,1,United States of America,,,,,,,,,
Zion & Lennox,1,United States of America,,,,,,,,,
a-ha,1,Norway,,,,,,,,,
dennis,1,Brazil,,,,,,,,,
girl in red,1,Norway,,,,,,,,,
mc jhenny,1,Brazil,,,,,,,,,
sped up 8282,1,Unknown,,,,,,,,,
sped up nightcore,1,Norway,,,,,,,,,
teto,1,Brazil,,,,,,,,,
unxbected,1,Unknown,,,,,,,,,
utku INC,1,Turkey,,,,,,,,,
zzoilo,1,Spain,,,,,,,,,
