artist_name,artist_count,country,,,,,,,,,
Lil Nas X,4,United States of America,,,,,,,,,
Marshmello,4,United States of America,,,,,,,,,
Mene,4,Mexico,,,,,,,,,
Mora,4,Puerto Rico,,,,,,,,,
Myke Towers,4,Germany,,,,,,,,,
Natanael Cano,4,Belgium,,,,,,,,,
Paulo Londra,4,Argentina,,,,,,,,,
ROSALIA,4,Spain,,,,,,,,,
Sech,4,Panama,,,,,,,,,
Shawn Mendes,4,Canada,,,,,,,,,
Young Thug,4,United States of America,,,,,,,,,
Ana Castela,3,Brazil,,,,,,,,,
Arcangel,3,United States of America,,,,,,,,,
BLACKPINK,3,South Korea,,,,,,,,,
Becky G,3,United States of America,,,,,,,,,
Beyonce,3,United States of America,,,,,,,,,
Camila Cabello,3,United States of America,,,,,,,,,
Central Cee,3,Russia,,,,,,,,,
Charlie Puth,3,United States of America,,,,,,,,,
Chencho Corleone,3,Italy,,,,,,,,,
Chris Brown,3,Australia,,,,,,,,,
Coi Leray,3,United States of America,,,,,,,,,
Cris Mj,3,Chile,,,,,,,,,
De La Ghetto,3,United States of America,,,,,,,,,
ENHYPEN,3,South Korea,,,,,,,,,
Elton John,3,United Kingdom,,,,,,,,,
J. Cole,3,United States of America,,,,,,,,,
JVKE,3,United States of America,,,,,,,,,
Joji,3,Japan,,,,,,,,,
Juice WRLD,3,Australia,,,,,,,,,
Kali Uchis,3,Colombia,,,,,,,,,
Kodak Black,3,United States of America,,,,,,,,,
LE SSERAFIM,3,South Korea,,,,,,,,,
Lady Gaga,3,United States of America,,,,,,,,,
Lewis Capaldi,3,United Kingdom,,,,,,,,,
Lil Durk,3,United States of America,,,,,,,,,
Lil Uzi Vert,3,United States of America,,,,,,,,,
Lizzo,3,United States of America,,,,,,,,,
Manuel Turizo,3,United States of America,,,,,,,,,
Marilia Mendonca,3,Brazil,,,,,,,,,
Oliver Tree,3,United Kingdom,,,,,,,,,
Ozuna,3,Japan,,,,,,,,,
Pailita,3,Spain,,,,,,,,,
Pharrell Williams,3,United States of America,,,,,,,,,
Polima WestCoast,3,Chile,,,,,,,,,
Ryan Castro,3,United States of America,,,,,,,,,
Sachin-Jigar,3,India,,,,,,,,,
Sam Smith,3,United Kingdom,,,,,,,,,
Sebastian Yatra,3,Colombia,,,,,,,,,
Snoop Dogg,3,United States of America,,,,,,,,,
Stephanie Beatriz,3,United Kingdom,,,,,,,,,
Steve Lacy,3,United States of America,,,,,,,,,
Swae Lee,3,United States of America,,,,,,,,,
Tainy,3,Puerto Rico,,,,,,,,,
The Kid Laroi,3,Sweden,,,,,,,,,
The Neighbourhood,3,United States of America,,,,,,,,,
Tiesto,3,Olanda,,,,,,,,,
Willow,3,United States of America,,,,,,,,,
XXXTENTACION,3,Sweden,,,,,,,,,
(G)I-DLE,2,South Korea,,,,,,,,,
070 Shake,2,United States of America,,,,,,,,,
Agust D,2,South Korea,,,,,,,,,
Amitabh Bhattacharya,2,United Kingdom,,,,,,,,,
Anderson .Paak,2,United States of America,,,,,,,,,
Anitta,2,Brazil,,,,,,,,,
Arcane,2,Japan,,,,,,,,,
Avicii,2,Sweden,,,,,,,,,
Baby Keem,2,Italy,,,,,,,,,
Big One,2,Argentina,,,,,,,,,
BoyWithUke,2,United States of America,,,,,,,,,
Britney Spears,2,United States of America,,,,,,,,,
Burna Boy,2,Nigeria,,,,,,,,,
Carin Leon,2,France,,,,,,,,,
Chino Pacas,2,Japan,,,,,,,,,
Ckay,2,Nigeria,,,,,,,,,
DJ Luian,2,United States of America,,,,,,,,,
Daft Punk,2,France,,,,,,,,,
Dave,2,United Kingdom,,,,,,,,,
David Kushner,2,United States of America,,,,,,,,,
Diane Guerrero,2,Australia,,,,,,,,,
Eden Munoz,2,United States of America,,,,,,,,,
Em Beihold,2,United States of America,,,,,,,,,
Encanto - Cast,2,United States of America,,,,,,,,,
